COMPANY-TYPE,ITEM,TAX-STATUS,EMPLOYER,2015 Revenue,2014 Revenue,2013 Revenue,2012 Revenue,2011 Revenue,2010 Revenue,2009 Revenue,2008 Revenue,2007 Revenue
All Other Business Support Services ,Revenue ,All Establishments ,Employer Firms ,7018,6997,6804,7137,7886,8199,8186,8868,8169
All Other Business Support Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7018,6997,6804,7137,7886,8199,8186,8868,8169
Travel Agencies ,Revenue ,All Establishments ,Employer Firms ,15052,14313,13405,13732,13267,12203,10803,12169,12069
Travel Agencies ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,15052,14313,13405,13732,13267,12203,10803,12169,12069
Tour Operators ,Revenue ,All Establishments ,Employer Firms ,6084,5826,5649,5373,5108,5125,4786,5238,4397
Tour Operators ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6084,5826,5649,5373,5108,5125,4786,5238,4397
Convention and Visitors Bureaus ,Revenue ,All Establishments ,Employer Firms ,2010,1876,1710,1589,1453,1387,1418,1550,1503
Convention and Visitors Bureaus ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2010,1876,1710,1589,1453,1387,1418,1550,1503
All Other Travel Arrangement and Reservation Services ,Revenue ,All Establishments ,Employer Firms ,17640,16393,15397,13652,13205,12846,12071,13740,13923
All Other Travel Arrangement and Reservation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,17640,16393,15397,13652,13205,12846,12071,13740,13923
Investigation Services ,Revenue ,All Establishments ,Employer Firms ,5323,5133,5170,4904,4641,4404,4096,3924,3887
Investigation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5323,5133,5170,4904,4641,4404,4096,3924,3887
Security Guards and Patrol Services ,Revenue ,All Establishments ,Employer Firms ,24012,23604,23589,23040,21582,20820,20938,20468,18799
Security Guards and Patrol Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,24012,23604,23589,23040,21582,20820,20938,20468,18799
Armored Car Services ,Revenue ,All Establishments ,Employer Firms ,2247,2191,2326,2334,2372,2291,2317,2333,2225
Armored Car Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2247,2191,2326,2334,2372,2291,2317,2333,2225
Security Systems Services (except Locksmiths) ,Revenue ,All Establishments ,Employer Firms ,19045,17861,15888,15030,14725,13833,13998,15014,14360
Security Systems Services (except Locksmiths) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,19045,17861,15888,15030,14725,13833,13998,15014,14360
Locksmiths ,Revenue ,All Establishments ,Employer Firms ,1803,1767,1659,1637,1579,1542,1501,1655,1633
Locksmiths ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1803,1767,1659,1637,1579,1542,1501,1655,1633
Extermi0ting and Pest Control Services ,Revenue ,All Establishments ,Employer Firms ,11929,11525,10972,10307,9608,9444,9071,8905,8693
Extermi0ting and Pest Control Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,11929,11525,10972,10307,9608,9444,9071,8905,8693
Janitorial Services ,Revenue ,All Establishments ,Employer Firms ,41676,40015,37885,36681,35917,34559,33249,35195,33021
Janitorial Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,41676,40015,37885,36681,35917,34559,33249,35195,33021
Landscaping Services ,Revenue ,All Establishments ,Employer Firms ,67549,63570,55609,51908,49640,47674,46804,52631,53910
Landscaping Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,67549,63570,55609,51908,49640,47674,46804,52631,53910
Carpet and Upholstery Cleaning Services ,Revenue ,All Establishments ,Employer Firms ,3537,3446,3193,3083,2958,2746,2950,3135,2962
Carpet and Upholstery Cleaning Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3537,3446,3193,3083,2958,2746,2950,3135,2962
Other Services to Buildings and Dwellings ,Revenue ,All Establishments ,Employer Firms ,7141,6609,6040,5477,4901,4758,5013,5197,4778
Other Services to Buildings and Dwellings ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7141,6609,6040,5477,4901,4758,5013,5197,4778
Packaging and Labeling Services ,Revenue ,All Establishments ,Employer Firms ,7474,6875,6490,5939,5648,5397,4931,5216,5050
Packaging and Labeling Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7474,6875,6490,5939,5648,5397,4931,5216,5050
Convention and Trade Show Organizers ,Revenue ,All Establishments ,Employer Firms ,13050,12920,12127,12023,11086,10016,9540,11963,11238
Convention and Trade Show Organizers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,13050,12920,12127,12023,11086,10016,9540,11963,11238
All Other Support Services ,Revenue ,All Establishments ,Employer Firms ,22586,21454,19735,19631,18494,19472,19382,20900,20897
All Other Support Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,22586,21454,19735,19631,18494,19472,19382,20900,20897
Waste Ma0gement and Remediation Services ,Revenue ,All Establishments ,Employer Firms ,87510,86269,81334,79198,79615,78819,70845,77898,75187
Waste Ma0gement and Remediation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,87510,86269,81334,79198,79615,78819,70845,77898,75187
Solid Waste Collection ,Revenue ,All Establishments ,Employer Firms ,39503,39409,37435,36560,37097,36431,35777,39020,36999
Solid Waste Collection ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,39503,39409,37435,36560,37097,36431,35777,39020,36999
Hazardous Waste Collection ,Revenue ,All Establishments ,Employer Firms ,3225,2899,2618,2249,2040,2096,1890,2016,1857
Hazardous Waste Collection ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3225,2899,2618,2249,2040,2096,1890,2016,1857
Other Waste Collection ,Revenue ,All Establishments ,Employer Firms ,1703,1508,1377,1488,1344,1271,1323,1751,1606
Other Waste Collection ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1703,1508,1377,1488,1344,1271,1323,1751,1606
Hazardous Waste Treatment and Disposal ,Revenue ,All Establishments ,Employer Firms ,7915,8019,6491,6698,6569,6221,5697,5849,5864
Hazardous Waste Treatment and Disposal ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7915,8019,6491,6698,6569,6221,5697,5849,5864
Solid Waste Landfill ,Revenue ,All Establishments ,Employer Firms ,5778,5782,5667,5136,4919,4798,4779,5594,5648
Solid Waste Landfill ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5778,5782,5667,5136,4919,4798,4779,5594,5648
Solid Waste Combustors and Incinerators ,Revenue ,All Establishments ,Employer Firms ,0,2517,2520,2489,0,0,1939,2222,2081
Solid Waste Combustors and Incinerators ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,0,2517,2520,2489,0,0,1939,2222,2081
Other Nonhazardous Waste Treatment and Disposal ,Revenue ,All Establishments ,Employer Firms ,509,480,528,506,469,481,537,698,671
Other Nonhazardous Waste Treatment and Disposal ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,509,480,528,506,469,481,537,698,671
Remediation Services ,Revenue ,All Establishments ,Employer Firms ,15532,14940,14500,14193,14680,16422,11444,12136,12424
Remediation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,15532,14940,14500,14193,14680,16422,11444,12136,12424
Materials Recovery Facilities ,Revenue ,All Establishments ,Employer Firms ,5285,5722,5570,5639,6104,5092,3823,4695,4072
Materials Recovery Facilities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5285,5722,5570,5639,6104,5092,3823,4695,4072
Septic Tank and Related Services ,Revenue ,All Establishments ,Employer Firms ,3563,3101,2847,2627,2412,2351,2300,2521,2553
Septic Tank and Related Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,3563,3101,2847,2627,2412,2351,2300,2521,2553
All Other Miscellaneous Waste Ma0gement Services ,Revenue ,All Establishments ,Employer Firms ,1947,1892,1781,1613,1615,1442,1336,1396,1412
All Other Miscellaneous Waste Ma0gement Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1947,1892,1781,1613,1615,1442,1336,1396,1412
Educatio0l Services19 ,Revenue ,All Establishments ,Employer Firms ,61934,58591,55188,53359,51971,48679,45035,0,0
Educatio0l Services19 ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,16537,15281,14390,13879,13243,12520,12273,0,0
Educatio0l Services19 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,45397,43310,40798,39480,38728,36159,32762,0,0
Business Schools and Computer and Ma0gement Training ,Revenue ,All Establishments ,Employer Firms ,11365,10754,10196,9891,9934,9434,9090,0,0
Business Schools and Computer and Ma0gement Training ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,2348,2119,2046,2015,1971,1836,1827,0,0
Business Schools and Computer and Ma0gement Training ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,9017,8635,8150,7876,7963,7598,7263,0,0
Technical and Trade Schools ,Revenue ,All Establishments ,Employer Firms ,14090,13616,13016,13103,13363,12645,11179,0,0
Technical and Trade Schools ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,2340,2090,1869,1830,1705,1673,1669,0,0
Technical and Trade Schools ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,11750,11526,11147,11273,11658,10972,9510,0,0
Other Schools and Instruction ,Revenue ,All Establishments ,Employer Firms ,22584,21112,19774,18742,17199,16157,14893,0,0
Other Schools and Instruction ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,4447,4259,3955,3965,3802,3501,3469,0,0
Other Schools and Instruction ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,18137,16853,15819,14777,13397,12656,11424,0,0
Educatio0l Support Services ,Revenue ,All Establishments ,Employer Firms ,13895,13109,12202,11623,11475,10443,9873,0,0
Educatio0l Support Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,7402,6813,6520,6069,5765,5510,5308,0,0
Educatio0l Support Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6493,6296,5682,5554,5710,4933,4565,0,0
Health Care and Social Assistance ,Revenue ,All Establishments ,Employer Firms ,2304000,2181843,2090220,2040442,1966011,1890085,1825509,1750217,1668554
Health Care and Social Assistance ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,1165064,1107253,1063197,1031698,996985,961927,924838,880825,850224
Health Care and Social Assistance ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1138936,1074590,1027023,1008744,969026,928158,900671,869392,818330
Ambulatory Health Care Services ,Revenue ,All Establishments ,Employer Firms ,912343,863818,828282,814095,784661,753036,730045,707205,669136
Ambulatory Health Care Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,87508,82889,80218,77596,74989,72290,69763,66493,64053
Ambulatory Health Care Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,824835,780929,748064,736499,709672,680746,660282,640712,605083
Offices of Physicians (except Mental Health Specialists) ,Revenue ,All Establishments ,Employer Firms ,442965,418853,400426,397450,383415,367040,356593,347945,332019
Offices of Physicians (except Mental Health Specialists) ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,442965,418853,400426,397450,383415,367040,356593,347945,332019
"Offices of Physicians, Mental Health Specialists ",Revenue ,All Establishments ,Employer Firms ,5295,5266,5136,4765,4411,4554,4669,4586,4263
"Offices of Physicians, Mental Health Specialists ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,5295,5266,5136,4765,4411,4554,4669,4586,4263
Offices of Dentists ,Revenue ,All Establishments ,Employer Firms ,113855,109278,106496,104870,103236,101313,98976,98823,93930
Offices of Dentists ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,113855,109278,106496,104870,103236,101313,98976,98823,93930
Offices of Chiropractors ,Revenue ,All Establishments ,Employer Firms ,12334,11933,11732,11436,10921,10594,10351,10136,9980
Offices of Chiropractors ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,12334,11933,11732,11436,10921,10594,10351,10136,9980
Offices of Optometrists ,Revenue ,All Establishments ,Employer Firms ,13912,13359,12661,12194,11708,11440,11257,11024,10316
Offices of Optometrists ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,13912,13359,12661,12194,11708,11440,11257,11024,10316
"Offices of Mental Health Practitioners, (except Physicians) ",Revenue ,All Establishments ,Employer Firms ,9092,8341,7539,7082,6600,6285,5965,5456,5132
"Offices of Mental Health Practitioners, (except Physicians) ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,9092,8341,7539,7082,6600,6285,5965,5456,5132
"Offices of Physical, Occupatio0l and Speech Therapists and Audiologists ",Revenue ,All Establishments ,Employer Firms ,28365,26170,24365,24498,23216,22239,21186,19939,17785
"Offices of Physical, Occupatio0l and Speech Therapists and Audiologists ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,28365,26170,24365,24498,23216,22239,21186,19939,17785
Offices of Podiatrists ,Revenue ,All Establishments ,Employer Firms ,4410,4400,4401,4421,4225,4087,3975,3857,3793
Offices of Podiatrists ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4410,4400,4401,4421,4225,4087,3975,3857,3793
Offices of All Other Miscellaneous Health Practitioners ,Revenue ,All Establishments ,Employer Firms ,7963,7283,6887,6151,5792,5446,4966,4891,4146
Offices of All Other Miscellaneous Health Practitioners ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7963,7283,6887,6151,5792,5446,4966,4891,4146
Family Planning Centers ,Revenue ,All Establishments ,Employer Firms ,2417,2291,2267,2138,2025,1933,1905,1855,1796
Family Planning Centers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,1352,1297,1290,1242,1214,1198,1186,1143,1128
Family Planning Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1065,994,977,896,811,735,719,712,668
Outpatient Mental Health and Substance Abuse Centers ,Revenue ,All Establishments ,Employer Firms ,18089,16547,15441,14450,13916,13110,12647,12085,12067
Outpatient Mental Health and Substance Abuse Centers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,12384,11624,10976,10560,10344,9716,9454,9074,9272
Outpatient Mental Health and Substance Abuse Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,5705,4923,4465,3890,3572,3394,3193,3011,2795
HMO Medical Centers ,Revenue ,All Establishments ,Employer Firms ,8080,7496,6791,6564,6288,6007,5917,5391,5212
HMO Medical Centers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,7331,6814,6414,6226,5990,5759,5690,5191,5029
HMO Medical Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,749,682,0,338,298,0,0,0,183
Kidney Dialysis Centers ,Revenue ,All Establishments ,Employer Firms ,20947,19198,17707,17382,16176,15739,14504,13946,12360
Kidney Dialysis Centers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,1495,1373,1283,1316,1339,1376,1221,1174,1149
Kidney Dialysis Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,19452,17825,16424,16066,14837,14363,13283,12772,11211
Freestanding Ambulatory Surgical and Emergency Centers ,Revenue ,All Establishments ,Employer Firms ,23843,22067,22311,21217,19492,18417,18078,17149,15420
Freestanding Ambulatory Surgical and Emergency Centers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,2751,0,2564,2476,2665,2778,0,3163,2280
Freestanding Ambulatory Surgical and Emergency Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,21092,19480,19747,18741,16827,15639,15082,13986,13140
All Other Outpatient Care Centers ,Revenue ,All Establishments ,Employer Firms ,44666,41394,38416,36621,34275,32467,30469,28421,27087
All Other Outpatient Care Centers ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,30886,28403,26623,25494,24006,22849,21545,19982,19743
All Other Outpatient Care Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,13780,12991,11793,11127,10269,9618,8924,8439,7344
Medical Laboratories ,Revenue ,All Establishments ,Employer Firms ,31695,30745,29916,29467,29671,27597,26835,24630,22856
Medical Laboratories ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,31695,30745,29916,29467,29671,27597,26835,24630,22856
Diagnostic Imaging Centers ,Revenue ,All Establishments ,Employer Firms ,16280,16054,16315,16671,16653,16992,17636,17678,17221
Diagnostic Imaging Centers ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,16280,16054,16315,16671,16653,16992,17636,17678,17221
Home Health Care Services ,Revenue ,All Establishments ,Employer Firms ,74447,70776,67869,65447,61840,58809,55780,51381,47617
Home Health Care Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,18717,18503,18471,18023,17262,16931,16250,15682,15003
Home Health Care Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,55730,52273,49398,47424,44578,41878,39530,35699,32614
Ambulance Services ,Revenue ,All Establishments ,Employer Firms ,14932,14237,13460,13229,12808,11855,11224,10648,9951
Ambulance Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,3153,3019,2956,2847,2820,2691,2560,2442,2228
Ambulance Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,11779,11218,10504,10382,9988,9164,8664,8206,7723
Blood and Organ Banks ,Revenue ,All Establishments ,Employer Firms ,9994,9986,10044,10205,10535,10263,10282,10029,8914
Blood and Organ Banks ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,7883,7837,7988,7913,8069,7932,7801,7571,7034
Blood and Organ Banks ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,0,0,0,2292,0,2331,2481,2458,1880
All Other Miscellaneous Ambulatory Health Care Services ,Revenue ,All Establishments ,Employer Firms ,8762,8144,8102,7837,7458,6849,6830,7335,7271
All Other Miscellaneous Ambulatory Health Care Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,1556,1432,1653,1499,1280,1060,1060,1071,1187
All Other Miscellaneous Ambulatory Health Care Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7206,6712,6449,6338,6178,5789,5770,6264,6084
Hospitals ,Revenue ,All Establishments ,Employer Firms ,1003499,946303,904652,876851,837368,802760,774582,732310,702960
Hospitals ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,879583,832530,796043,768732,736225,706936,679603,644425,622129
Hospitals ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,123916,113773,108609,108119,101143,95824,94979,87885,80831
General Medical and Surgical Hospitals - Government ,Revenue ,All Establishments ,Employer Firms ,174697,167795,158918,154807,149763,146945,144520,139576,133755
General Medical and Surgical Hospitals - Government ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,174697,167795,158918,154807,149763,146945,144520,139576,133755
General Medical and Surgical Hospitals - Private ,Revenue ,All Establishments ,Employer Firms ,760060,713829,684370,661808,629467,601076,578086,543842,523564
General Medical and Surgical Hospitals - Private ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,658870,621449,595822,573211,547123,523293,500268,471667,456440
General Medical and Surgical Hospitals - Private ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,101190,92380,88548,88597,82344,77783,77818,72175,67124
Psychiatric and Substance Abuse Hospitals -Government ,Revenue ,All Establishments ,Employer Firms ,13077,12754,11935,11443,10590,10526,10436,10428,10171
Psychiatric and Substance Abuse Hospitals -Government ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,13077,12754,11935,11443,10590,10526,10436,10428,10171
Psychiatric and Substance Abuse Hospitals - Private ,Revenue ,All Establishments ,Employer Firms ,10724,9962,9278,8896,8481,8913,8185,7644,7018
Psychiatric and Substance Abuse Hospitals - Private ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,4509,4306,4115,3937,3905,3850,3590,3545,3550
Psychiatric and Substance Abuse Hospitals - Private ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6215,5656,5163,4959,4576,5063,4595,4099,3468
Specialty Hospitals - Government ,Revenue ,All Establishments ,Employer Firms ,7309,6952,6538,6076,6169,5974,5530,5529,5430
Specialty Hospitals - Government ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,7309,6952,6538,6076,6169,5974,5530,5529,5430
Specialty Hospitals - Private ,Revenue ,All Establishments ,Employer Firms ,37632,35011,33613,33821,32898,29326,27825,25291,23022
Specialty Hospitals - Private ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,21121,19274,18715,19258,18675,16348,15259,13680,12783
Specialty Hospitals - Private ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,16511,15737,14898,14563,14223,12978,12566,11611,10239
Nursing and Residential Care Facilities ,Revenue ,All Establishments ,Employer Firms ,223345,214810,207789,203171,198369,190850,182908,176802,168655
Nursing and Residential Care Facilities ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,80182,78718,77302,76398,75512,73666,71556,69041,67657
Nursing and Residential Care Facilities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,143163,136092,130487,126773,122857,117184,111352,107761,100998
Nursing Care Facilities (Skilled Nursing Facilities)20 ,Revenue ,All Establishments ,Employer Firms ,117714,114329,111496,110351,109113,104959,100621,97262,92517
Nursing Care Facilities (Skilled Nursing Facilities)20 ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,23308,23857,23813,23815,24132,23879,23483,22586,22378
Nursing Care Facilities (Skilled Nursing Facilities)20 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,94406,90472,87683,86536,84981,81080,77138,74676,70139
Residential Intellectual and Developmental Disability Facilities20 ,Revenue ,All Establishments ,Employer Firms ,24142,23393,22586,22129,21608,21232,20570,19619,18275
Residential Intellectual and Developmental Disability Facilities20 ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,17190,16627,16214,15819,15532,15186,14758,14079,13086
Residential Intellectual and Developmental Disability Facilities20 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6952,6766,6372,6310,6076,6046,5812,5540,5189
Residential Mental Health and Substance Abuse Facilities ,Revenue ,All Establishments ,Employer Firms ,14297,12915,12201,11627,11144,10724,9921,9449,8692
Residential Mental Health and Substance Abuse Facilities ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,8198,7715,7512,7210,6988,6750,6308,6107,5934
Residential Mental Health and Substance Abuse Facilities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6099,5200,4689,4417,4156,3974,3613,3342,2758
Continuing Care Retirement Communities ,Revenue ,All Establishments ,Employer Firms ,30373,29382,28195,27612,26868,26303,25956,24992,24661
Continuing Care Retirement Communities ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,19896,19306,18933,18940,18221,17497,16886,15852,15783
Continuing Care Retirement Communities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,10477,10076,9262,8672,8647,8806,9070,9140,8878
Homes for the Elderly ,Revenue ,All Establishments ,Employer Firms ,28115,26375,25115,23490,21615,19683,17914,17122,16171
Homes for the Elderly ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,4307,4098,3906,3878,3762,3529,3402,3357,3390
Homes for the Elderly ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,23808,22277,21209,19612,17853,16154,14512,13765,12781
Other Residential Care Facilities ,Revenue ,All Establishments ,Employer Firms ,8704,8416,8196,7962,8021,7949,7926,8358,8339
Other Residential Care Facilities ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,7283,7115,6924,6736,6877,6825,6719,7060,7086
Other Residential Care Facilities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1421,1301,1272,1226,1144,1124,1207,1298,1253
Social Assistance ,Revenue ,All Establishments ,Employer Firms ,164813,156912,149497,146325,145613,143439,137974,133900,127803
Social Assistance ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,117791,113116,109634,108972,110259,109035,103916,100866,96385
Social Assistance ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,47022,43796,39863,37353,35354,34404,34058,33034,31418
Child and Youth Services ,Revenue ,All Establishments ,Employer Firms ,13457,12838,12252,12211,12156,11923,11282,11600,11400
Child and Youth Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,12314,11763,11246,11238,11182,10858,10200,10550,10422
Child and Youth Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1143,1075,1006,973,974,1065,1082,1050,978
Services for the Elderly and Persons with Disabilities ,Revenue ,All Establishments ,Employer Firms ,40735,38620,35406,34087,32348,30737,29093,27349,25263
Services for the Elderly and Persons with Disabilities ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,24234,23330,22094,22073,21722,21240,20417,19527,18260
Services for the Elderly and Persons with Disabilities ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,16501,15290,13312,12014,10626,9497,8676,7822,7003
Other Individual and Family Services ,Revenue ,All Establishments ,Employer Firms ,30628,29259,28280,27810,28925,29013,28056,27112,26400
Other Individual and Family Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,26625,25658,25211,24988,25786,25731,24537,23557,22778
Other Individual and Family Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4003,3601,3069,2822,3139,3282,3519,3555,3622
Community Food Services ,Revenue ,All Establishments ,Employer Firms ,10172,9759,9299,8217,7542,6917,6142,5569,5222
Community Food Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,10118,9706,9246,8162,7484,6837,6055,5480,5136
Community Food Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,54,53,53,55,58,80,87,89,86
Community Housing Services ,Revenue ,All Establishments ,Employer Firms ,11970,11618,11001,10776,11374,11126,10453,10288,9870
Community Housing Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,11875,11532,10924,10701,11274,11003,10268,9991,9632
Community Housing Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,95,86,77,75,100,123,185,297,238
Emergency and Other Relief Services ,Revenue ,All Establishments ,Employer Firms ,9240,8573,8276,8702,9057,9795,9634,9753,8427
Emergency and Other Relief Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,9130,8472,8210,8661,8999,9757,9591,9693,8369
Emergency and Other Relief Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,110,101,66,41,58,38,43,60,58
Vocatio0l Rehabilitation Services ,Revenue ,All Establishments ,Employer Firms ,13222,12682,12503,12430,12778,12847,12366,11864,11536
Vocatio0l Rehabilitation Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,10958,10442,10378,10344,10778,10651,10359,10001,9836
Vocatio0l Rehabilitation Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,2264,2240,2125,2086,2000,2196,2007,1863,1700
Child Day Care Services ,Revenue ,All Establishments ,Employer Firms ,35389,33563,32480,32092,31433,31081,30948,30365,29685
Child Day Care Services ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,12537,12213,12325,12805,13034,12958,12489,12067,11952
Child Day Care Services ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,22852,21350,20155,19287,18399,18123,18459,18298,17733
"Arts, Entertainment, and Recreation ",Revenue ,All Establishments ,Employer Firms ,237482,223154,211292,201192,193592,188117,185641,191450,189418
"Arts, Entertainment, and Recreation ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,43851,43998,41641,39503,36548,38348,37005,37637,37458
"Arts, Entertainment, and Recreation ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,193631,179156,169651,161689,157044,149769,148636,153813,151960
"Performing Arts, Spectator Sports, and Related Industries ",Revenue ,All Establishments ,Employer Firms ,104698,96483,90200,86421,83260,80461,79264,79756,77772
"Performing Arts, Spectator Sports, and Related Industries ",Revenue ,Establishments exempt from federal income tax ,Employer Firms ,11631,11318,10628,10084,9371,9216,9034,9435,9480
"Performing Arts, Spectator Sports, and Related Industries ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,93067,85165,79572,76337,73889,71245,70230,70321,68292
Performing Arts Companies ,Revenue ,All Establishments ,Employer Firms ,15263,14332,13769,13857,14426,13814,13744,13506,13573
Performing Arts Companies ,Revenue ,Establishments exempt from federal income tax ,Employer Firms ,6315,6154,5872,5570,5281,5004,4873,5240,5571
